State,Higher,Lower
1,-1.5234345469310233,-1.5056292247541638
2,-1.4060712954951375,-1.4233781545433695
3,-1.5092072039269033,-1.576189903266222
4,-1.2971687203159847,-1.3985942948823686
5,-1.4057545684467554,-1.4355047129388727
6,-1.2517678261370166,-1.2613005937973492
7,-1.1712274831925034,-1.2386392543213047
8,-1.1562899614651547,-1.1783207829373632
9,-1.4186681357909414,-1.3817075332597477
10,-1.021703763538831,-1.0142229242529104
11,-1.1741676190137436,-1.2636887564402448
12,-0.8918433577381999,-0.8165159852939804
13,-1.2561946154549006,-1.210204634634207
14,-0.9808027860664347,-0.9521403969465587
15,-1.1635309524498574,-1.1392809302437548
16,-1.158183241160927,-1.1094915715846083
17,-0.8864632922905196,-1.0133738564471835
18,-1.0744023125577302,-1.0446464860539213
19,-0.9372389368306339,-0.948566189859296
20,-1.0529842352158494,-1.1063779665496347
21,-0.8870439870240886,-0.8149140702603092
22,-1.1485272887962326,-1.0402253243390152
23,-1.0037732326618856,-1.021944514082039
24,-0.9760714930917173,-0.9681043868672059
25,-0.8934267051292831,-0.9868626385619621
26,-0.6488406215459745,-0.6220918098900539
27,-0.45496773431950965,-0.40219632742041245
28,-0.8977415160219628,-0.8282862420135995
29,-0.9684960121731225,-1.0468635431452522
30,-0.5836201940380458,-0.635306596882293
31,-0.7594919337325432,-0.7619776179112783
32,-0.7721030908484745,-0.7865625241052885
33,-0.9115167437471877,-0.9768030961256781
34,-0.802579624535555,-0.8387525609790364
35,-0.6639384558220939,-0.662802547707197
36,-0.7223882839107612,-0.8485072338817283
37,-0.833915055936213,-0.711063600196956
38,-0.9148943282032356,-0.9900463085980087
39,-0.963476617703753,-0.9844914081301279
40,-1.0733253198769304,-1.0819591097919063
41,-0.5875834035821572,-0.5707336290414875
42,-0.7903852766221416,-0.7937054490426083
43,-0.9892775081820041,-0.9368648574081541
44,-0.7252987464924401,-0.7381436083801626
45,-0.647603521290162,-0.6944261523363895
46,-0.7486495687899519,-0.6977492650467625
47,-0.5910315815764006,-0.6980643255791307
48,-0.6745735662144398,-0.7737220990645356
49,-0.9588252276047244,-0.8735286933598558
50,-0.5274442831267092,-0.5552330637902976
51,-0.931877979786517,-0.9708545928365586
52,-0.9002466791199214,-0.8501537828364931
53,-0.5566441886012912,-0.5029870338420557
54,-0.9818982153288894,-0.8985150823081646
55,-0.4557546690254813,-0.4991109355358936
56,-0.7369337535543623,-0.6953578817161273
57,-1.0594288245780807,-0.9959551443949577
58,-0.6472519542363109,-0.6916128630368906
59,-0.8048100299763277,-0.7264048392948805
60,-0.7560526787838399,-0.7885494353882976
61,-0.9657609223815199,-0.9289216647316003
62,-0.7535060093360473,-0.6505847753517695
63,-0.6207696767671871,-0.5439398421996124
64,-0.5696631180679573,-0.48352037036162865
65,-0.7642623787738716,-0.7742816656829776
66,-1.1805637890357064,-1.1264283264158892
67,-0.8494308296689477,-0.7518415014531957
68,-0.506821858622684,-0.4329289718877761
69,-0.5656870281031802,-0.6206575667779046
70,-0.9128865420290375,-0.9741787551148837
71,-0.684892629177381,-0.7973256508576206
72,-0.8830508769304799,-0.8816495529283495
73,-1.0083254484244268,-0.9210877609795299
74,-0.9334502045023544,-0.902411527850235
75,-0.9793552883605889,-0.9599601207003186
76,-0.6860627073812259,-0.6576805768114214
77,-1.0336288431976073,-0.9903338402273751
78,-0.8263135973218606,-0.8756655128990525
79,-1.0970965284897771,-1.0846929619604198
80,-0.9064341479813512,-0.9696571988647492
81,-0.7080792067362741,-0.7672823867657081
82,-0.9307657445529183,-0.980915437098523
83,-0.933306435758108,-0.998522567630227
84,-0.9454170077271844,-0.852086189291573
85,-0.9403589337995683,-0.8342878423571765
86,-0.9689825414245455,-0.9614030512018132
87,-1.0082915633785543,-1.0135156200368454
88,-1.311381227885078,-1.232208513116041
89,-1.2620206562138696,-1.16297482063954
90,-1.1723221108448294,-1.1930950394436042
91,-1.126296766991364,-1.1823939287131762
92,-1.0752990610338802,-1.1184295563303837
93,-1.3822926787428351,-1.2896043435013183
94,-1.0920508843484749,-1.1622670916925142
95,-1.244748440826583,-1.292440108680629
96,-1.4598950422829935,-1.494673121683301
97,-1.4881993415839283,-1.446301746804277
98,-1.4081195352973013,-1.3131651031950575
99,-1.5512366011556837,-1.5088535049841894
100,-1.5201330792594647,-1.5267542047098406
